"x","y","newclusterid","newn.samps.perpop"
-118.7364,36.59657,1,12
-119.171113333333,37.23559,2,30
-119.3032275,37.8956775,6,19
-119.66073,38.32771,9,17
-120.14201,39.23011,11,9
-121.06437,40.56716,12,5
-122.19944,41.359935,13,16
-122.699995,42.071475,15,30
-122.191175,42.4695505,17,21
-122.36711,43.03366,19,9
-122.11972,43.31025,20,16
-122.4163,43.7091,21,1
-121.8376,44.24945,22,12
-121.665886666667,45.3188666666667,23,53
-120.53141,47.5658733333333,27,29
-120.753515,47.787495,29,19
-121.06323,47.802415,30,18
-119.01038,47.93924,33,4
-117.49747,48.29049,34,21
-120.28589,48.37972,36,14
-120.39567,48.616679,37,28
